,PURPOSE_CD,INTERVAL_NO,BID_OFFER_DATE_DT,QUANTITY_NO,AWARDED_QUANTITY_NO,ENERGY_PRICE_NO,MERIT_ORDER_NO,PARTIAL_QTY_ACCEPTED_IN,ZONE_CD,AWARDED_PRICE_NO,OPERATORE
2238852,OFF,12,2017-11-04,0.08199999999999999,0.08199999999999999,0.0,134.0,N,SUD,49.67,ENEL PRODUZIONE S.P.A.
2238876,OFF,12,2017-11-04,0.5379999999999999,0.5379999999999999,0.0,360.0,N,SICI,49.67,Bilateralista
2238900,OFF,12,2017-11-04,3.739,3.739,0.0,678.0,N,NORD,49.67,FENICE S.P.A.
2238912,OFF,12,2017-11-04,0.275,0.275,0.0,519.0,N,SUD,49.67,AXPO ITALIA SPA
2238936,OFF,12,2017-11-04,6.4529999999999985,6.4529999999999985,0.0,335.0,N,NORD,49.67,Bilateralista
2238963,OFF,12,2017-11-04,7.5,7.5,0.0,135.0,N,NORD,49.67,ENEL PRODUZIONE S.P.A.
2238988,OFF,12,2017-11-04,4.408,4.408,0.0,336.0,N,NORD,49.67,Bilateralista
2239012,OFF,12,2017-11-04,16.8,16.8,0.0,136.0,N,CNOR,49.67,ENEL PRODUZIONE S.P.A.
2239036,OFF,12,2017-11-04,15.5,15.5,0.0,137.0,N,CNOR,49.67,ENEL PRODUZIONE S.P.A.
2239081,OFF,12,2017-11-04,0.922,0.922,0.0,432.0,N,SICI,49.67,DUFENERGY TRADING SA
2239105,OFF,12,2017-11-04,0.04,0.04,2.0,816.0,N,SUD,49.67,TRAILSTONE GMBH
2239129,OFF,12,2017-11-04,6.287000000000001,6.287000000000001,0.0,605.0,N,NORD,49.67,DUFERCO ENERGIA S.p.A.
2239165,OFF,12,2017-11-04,44.0,44.0,0.0,628.0,N,NORD,49.67,Bilateralista
2239190,OFF,12,2017-11-04,1.5,1.5,0.0,138.0,N,NORD,49.67,ENEL PRODUZIONE S.P.A.
2239214,OFF,12,2017-11-04,2.86,2.86,2.0,798.0,N,CSUD,49.67,TRAILSTONE GMBH
2239249,OFF,12,2017-11-04,2.692,2.692,20.0,978.0,N,NORD,49.67,Bilateralista
2239250,OFF,12,2017-11-04,3.901,3.901,20.0,965.0,N,NORD,49.67,EDELWEISS ENERGIA S.P.A.
2239286,OFF,12,2017-11-04,1.22,1.22,0.0,373.0,N,NORD,49.67,Bilateralista
2239315,OFF,12,2017-11-04,220.0,220.0,0.0,746.0,N,ROSN,49.67,AXPO ITALIA SPA
2239351,OFF,12,2017-11-04,219.0,219.0,0.0,747.0,N,ROSN,49.67,AXPO ITALIA SPA
2239382,OFF,12,2017-11-04,13.708,13.708,0.0,582.0,N,SUD,49.67,Bilateralista
2239406,OFF,12,2017-11-04,0.029,0.029,15.41,960.0,N,CSUD,49.67,EGO TRADE SRL
2239430,OFF,12,2017-11-04,0.329,0.329,0.0,476.0,N,SUD,49.67,DUFERCO ENERGIA S.p.A.
2239454,OFF,12,2017-11-04,49.1,49.1,0.0,21.0,N,CNOR,49.67,ENGIE ITALIA SPA
2239499,OFF,12,2017-11-04,0.08199999999999999,0.08199999999999999,0.0,265.0,N,SUD,49.67,ERG POWER GENERATION S.P.A.
2239500,OFF,12,2017-11-04,0.564,0.564,32.1,1103.0,N,SUD,49.67,ERG POWER GENERATION S.P.A.
2239501,OFF,12,2017-11-04,2.507,2.507,42.1,1178.0,N,SUD,49.67,ERG POWER GENERATION S.P.A.
2239539,OFF,12,2017-11-04,0.36,0.36,2.17,829.0,N,SUD,49.67,EGO TRADE SRL
2239563,OFF,12,2017-11-04,0.542,0.542,0.0,355.0,N,SUD,49.67,Bilateralista
2239579,OFF,12,2017-11-04,7.0920000000000005,7.0920000000000005,0.0,210.0,N,CSUD,49.67,GSE SPA
2239589,OFF,12,2017-11-04,8.28,8.28,10.3,934.0,N,CSUD,49.67,EGO TRADE SRL
2239618,OFF,12,2017-11-04,9.8,9.8,30.0,1059.0,N,SUD,49.67,4ENERGIA SRL
2239619,OFF,12,2017-11-04,0.001,0.001,9.9,876.0,N,SUD,49.67,4ENERGIA SRL
2239665,OFF,12,2017-11-04,13.125,13.125,30.0,1060.0,N,SUD,49.67,4ENERGIA SRL
2239666,OFF,12,2017-11-04,0.001,0.001,9.9,877.0,N,SUD,49.67,4ENERGIA SRL
2239709,OFF,12,2017-11-04,4.0,4.0,0.0,139.0,N,NORD,49.67,ENEL PRODUZIONE S.P.A.
2239734,OFF,12,2017-11-04,2.565,2.565,0.0,45.0,N,NORD,49.67,EDISON TRADING S.P.A.
2239758,OFF,12,2017-11-04,4.908,4.908,0.0,46.0,N,NORD,49.67,EDISON TRADING S.P.A.
2239791,OFF,12,2017-11-04,0.35,0.35,0.0,402.0,N,NORD,49.67,DOLOMITI ENERGIA TRADING SPA
2239815,OFF,12,2017-11-04,5.997999999999998,5.997999999999998,0.0,573.0,N,CSUD,49.67,Bilateralista
2239844,OFF,12,2017-11-04,0.556,0.556,0.0,266.0,N,SICI,49.67,ERG POWER GENERATION S.P.A.
2239845,OFF,12,2017-11-04,1.37,1.37,23.23,1041.0,N,SICI,49.67,ERG POWER GENERATION S.P.A.
2239873,OFF,12,2017-11-04,3.004,3.004,0.0,323.0,N,NORD,49.67,Bilateralista
