,PURPOSE_CD,INTERVAL_NO,BID_OFFER_DATE_DT,QUANTITY_NO,AWARDED_QUANTITY_NO,ENERGY_PRICE_NO,MERIT_ORDER_NO,PARTIAL_QTY_ACCEPTED_IN,ZONE_CD,AWARDED_PRICE_NO,OPERATORE
2242729,OFF,12,2017-11-04,28.5,28.5,20.0,1020.0,N,SUD,49.67,EN.E.R. TRADING S.p.A.
2242753,OFF,12,2017-11-04,0.008,0.008,0.0,66.0,N,CSUD,49.67,ENECO TRADE SRL
2242776,OFF,12,2017-11-04,0.04,0.04,2.0,804.0,N,SUD,49.67,TRAILSTONE GMBH
2242833,OFF,12,2017-11-04,220.0,220.0,29.99,1054.0,N,NORD,49.67,TIRRENO POWER S.P.A.
2242834,OFF,12,2017-11-04,40.0,40.0,36.99,1130.0,N,NORD,49.67,TIRRENO POWER S.P.A.
2242835,OFF,12,2017-11-04,40.0,40.0,36.99,1131.0,N,NORD,49.67,TIRRENO POWER S.P.A.
2242836,OFF,12,2017-11-04,44.024,44.024,38.99,1145.0,N,NORD,49.67,TIRRENO POWER S.P.A.
2242888,OFF,12,2017-11-04,0.106,0.106,0.0,215.0,N,SUD,49.67,GSE SPA
2242905,OFF,12,2017-11-04,20.0,20.0,0.0,595.0,N,NORD,49.67,DOLOMITI ENERGIA TRADING SPA
2242925,OFF,12,2017-11-04,4.0,4.0,0.0,532.0,N,NORD,49.67,EDISON TRADING S.P.A.
2242949,OFF,12,2017-11-04,1.15,1.15,10.0,911.0,N,CSUD,49.67,EDISON TRADING S.P.A.
2242973,OFF,12,2017-11-04,100.1,100.1,0.0,158.0,N,CNOR,49.67,ENEL PRODUZIONE S.P.A.
2243009,OFF,12,2017-11-04,8.362,8.362,0.0,159.0,N,NORD,49.67,ENEL PRODUZIONE S.P.A.
2243033,OFF,12,2017-11-04,9.97,9.97,0.0,325.0,N,NORD,49.67,Bilateralista
2243050,OFF,12,2017-11-04,8.424,8.424,10.22,933.0,N,CSUD,49.67,EGO TRADE SRL
2243068,OFF,12,2017-11-04,0.512,0.512,0.0,339.0,N,NORD,49.67,Bilateralista
2243110,OFF,12,2017-11-04,2.0,2.0,0.0,748.0,N,NORD,49.67,BURGO ENERGIA S.R.L.
2243111,OFF,12,2017-11-04,8.0,8.0,1.0,792.0,N,NORD,49.67,BURGO ENERGIA S.R.L.
2243112,OFF,12,2017-11-04,37.713,37.713,41.32,1157.0,N,NORD,49.67,BURGO ENERGIA S.R.L.
2243158,OFF,12,2017-11-04,3.03,3.03,0.0,47.0,N,NORD,49.67,EDISON TRADING S.P.A.
2243214,OFF,12,2017-11-04,1.277,1.277,0.0,271.0,N,SICI,49.67,ERG POWER GENERATION S.P.A.
2243215,OFF,12,2017-11-04,1.33,1.33,23.23,1042.0,N,SICI,49.67,ERG POWER GENERATION S.P.A.
2243251,OFF,12,2017-11-04,2.548,2.548,0.0,458.0,N,SICI,49.67,DUFENERGY TRADING SA
2243275,OFF,12,2017-11-04,27.716,27.716,0.0,160.0,N,NORD,49.67,ENEL PRODUZIONE S.P.A.
2243314,OFF,12,2017-11-04,0.997,0.997,0.0,272.0,N,SUD,49.67,ERG POWER GENERATION S.P.A.
2243315,OFF,12,2017-11-04,0.255,0.255,32.1,1108.0,N,SUD,49.67,ERG POWER GENERATION S.P.A.
2243316,OFF,12,2017-11-04,1.136,1.136,42.1,1183.0,N,SUD,49.67,ERG POWER GENERATION S.P.A.
2243354,OFF,12,2017-11-04,0.154,0.154,0.0,161.0,N,CSUD,49.67,ENEL PRODUZIONE S.P.A.
2243378,OFF,12,2017-11-04,1.165,1.165,0.0,523.0,N,SICI,49.67,AXPO ITALIA SPA
2243394,OFF,12,2017-11-04,0.249,0.249,0.0,216.0,N,CSUD,49.67,GSE SPA
2243422,OFF,12,2017-11-04,192.0,192.0,9.99,893.0,N,NORD,49.67,ENGIE ITALIA SPA
2243423,OFF,12,2017-11-04,190.0,190.0,40.79,1156.0,N,NORD,49.67,ENGIE ITALIA SPA
2243459,OFF,12,2017-11-04,7.257999999999999,7.257999999999999,0.0,577.0,N,SUD,49.67,Bilateralista
2243498,OFF,12,2017-11-04,0.002,0.002,0.0,273.0,N,SUD,49.67,ERG POWER GENERATION S.P.A.
2243499,OFF,12,2017-11-04,0.201,0.201,32.1,1109.0,N,SUD,49.67,ERG POWER GENERATION S.P.A.
2243500,OFF,12,2017-11-04,0.897,0.897,42.1,1184.0,N,SUD,49.67,ERG POWER GENERATION S.P.A.
2243538,OFF,12,2017-11-04,0.112,0.112,0.0,422.0,N,SUD,49.67,DUFENERGY TRADING SA
2243562,OFF,12,2017-11-04,12.226,12.226,0.0,162.0,N,NORD,49.67,ENEL PRODUZIONE S.P.A.
2243606,OFF,12,2017-11-04,20.0,20.0,0.0,26.0,N,AUST,49.67,Bilateralista
2243630,OFF,12,2017-11-04,0.332,0.332,0.0,1.0,N,NORD,49.67,ENERGIA E TERRITORIO SpA
2243654,OFF,12,2017-11-04,45.0,45.0,0.0,31.0,N,FRAN,49.67,Bilateralista
2243689,OFF,12,2017-11-04,20.0,20.0,0.0,15.0,N,SVIZ,49.67,DUFENERGY TRADING SA
2243690,OFF,12,2017-11-04,180.0,180.0,0.0,32.0,N,SVIZ,49.67,Bilateralista
2243733,OFF,12,2017-11-04,18.0,18.0,47.72,1258.0,N,SVIZ,49.67,GNERA ENERGIA Y TECNOLOGIA
2243747,OFF,12,2017-11-04,250.0,250.0,32.72,1115.0,N,SVIZ,49.67,TRAILSTONE GMBH
2243766,OFF,12,2017-11-04,5.0,5.0,0.0,18.0,N,SVIZ,49.67,ENSCO ENERGY SERVICES COMPANY AG
2243790,OFF,12,2017-11-04,100.0,40.0,0.0,25.0,Y,SVIZ,49.67,MAG ENERGY EUROPE INC
2243830,OFF,12,2017-11-04,15.0,15.0,0.0,33.0,N,SVIZ,49.67,Bilateralista
2243884,OFF,12,2017-11-04,600.0,600.0,1.0,769.0,N,SVIZ,49.67,DANSKE COMMODITIES A.S
2243900,OFF,12,2017-11-04,50.0,50.0,0.0,20.0,N,SVIZ,49.67,ILLUMIA Spa
2243911,OFF,12,2017-11-04,100.0,100.0,0.0,13.0,N,SVIZ,49.67,DUFERCO ENERGIA S.p.A.
2243957,OFF,12,2017-11-04,40.0,40.0,0.0,17.0,N,SVIZ,49.67,ENOI S.P.A.
2244022,OFF,12,2017-11-04,75.0,75.0,5.11,861.0,N,SVIZ,49.67,EDISON TRADING S.P.A.
2244023,OFF,12,2017-11-04,15.0,15.0,5.11,862.0,N,SVIZ,49.67,EDISON TRADING S.P.A.
2244043,OFF,12,2017-11-04,20.0,20.0,15.0,953.0,N,SVIZ,49.67,EN.E.R. TRADING S.p.A.
2244058,OFF,12,2017-11-04,205.0,205.0,0.0,23.0,N,SVIZ,49.67,GEN-I TRGOVANJE IN PRODAJA ELEKTRICNE ENERGIJE D.O.O.
2244081,OFF,12,2017-11-04,57.0,57.0,0.0,10.0,N,SVIZ,49.67,HSE D.O.O.
2244099,OFF,12,2017-11-04,25.0,25.0,0.0,19.0,N,SVIZ,49.67,HERA TRADING S.R.L.
2244116,OFF,12,2017-11-04,25.0,25.0,1.0,768.0,N,SVIZ,49.67,INTERENERGO D.O.O.
2244140,OFF,12,2017-11-04,5.0,5.0,0.0,16.0,N,SVIZ,49.67,DOLOMITI ENERGIA TRADING SPA
2244163,OFF,12,2017-11-04,75.0,75.0,12.72,950.0,N,SVIZ,49.67,NEAS ENERGY A/S
2244185,OFF,12,2017-11-04,20.0,20.0,0.0,22.0,N,SVIZ,49.67,STATKRAFT MARKETS GMBH
2244205,OFF,12,2017-11-04,50.0,50.0,0.0,9.0,N,SVIZ,49.67,SHELL ENERGY EUROPE LIMITED
2244229,OFF,12,2017-11-04,50.0,50.0,0.0,7.0,N,SVIZ,49.67,ILLUMIA Spa
2244253,OFF,12,2017-11-04,15.0,15.0,0.0,2.0,N,SVIZ,49.67,AXPO ITALIA SPA
2244277,OFF,12,2017-11-04,5.0,5.0,0.0,0.0,N,SVIZ,49.67,ELECTRADE SPA
2244297,OFF,12,2017-11-04,35.0,35.0,0.0,24.0,N,SVIZ,49.67,GEN-I TRGOVANJE IN PRODAJA ELEKTRICNE ENERGIJE D.O.O.
2244319,OFF,12,2017-11-04,54.0,54.0,0.0,27.0,N,SVIZ,49.67,Bilateralista
2244353,OFF,12,2017-11-04,90.0,90.0,0.0,8.0,N,SVIZ,49.67,SHELL ENERGY EUROPE LIMITED
2244377,OFF,12,2017-11-04,10.0,10.0,0.0,30.0,N,SVIZ,49.67,Bilateralista
2244401,OFF,12,2017-11-04,40.0,40.0,0.0,6.0,N,SVIZ,49.67,ILLUMIA Spa
2244425,OFF,12,2017-11-04,5.0,5.0,0.0,14.0,N,SVIZ,49.67,DUFERCO ENERGIA S.p.A.
2244449,OFF,12,2017-11-04,25.0,25.0,0.0,3.0,N,SVIZ,49.67,AXPO ITALIA SPA
2244473,OFF,12,2017-11-04,190.0,190.0,2.0,794.0,N,SVIZ,49.67,UNIPER GLOBAL COMMODITIES SE
2244497,OFF,12,2017-11-04,100.0,100.0,0.0,28.0,N,SVIZ,49.67,Bilateralista
2244521,OFF,12,2017-11-04,15.0,15.0,0.0,5.0,N,SVIZ,49.67,HERA TRADING S.R.L.
2244545,OFF,12,2017-11-04,5.0,5.0,0.0,4.0,N,SVIZ,49.67,REPOWER ITALIA SPA
